,head id,head name,tail id,tail name,pathway,link type,relation name,relation value,entry1,entry2
0,hsa:130589,GALM,cpd:C00267,C00267,hsa00010,ECrel,compound,90.0,73.0,75.0
1,cpd:C00267,C00267,hsa:3098,HK1,hsa00010,ECrel,compound,90.0,73.0,75.0
3,cpd:C00267,C00267,hsa:2645,GCK,hsa00010,ECrel,compound,90.0,73.0,74.0
5,cpd:C00267,C00267,hsa:2538,G6PC1,hsa00010,ECrel,compound,90.0,73.0,76.0
6,hsa:2645,GCK,cpd:C00221,C00221,hsa00010,ECrel,compound,91.0,70.0,73.0
7,cpd:C00221,C00221,hsa:130589,GALM,hsa00010,ECrel,compound,91.0,70.0,73.0
8,hsa:3098,HK1,cpd:C00221,C00221,hsa00010,ECrel,compound,91.0,69.0,73.0
10,hsa:2821,GPI,cpd:C01172,C01172,hsa00010,ECrel,compound,93.0,68.0,70.0
11,cpd:C01172,C01172,hsa:2645,GCK,hsa00010,ECrel,compound,93.0,68.0,70.0
13,cpd:C01172,C01172,hsa:3098,HK1,hsa00010,ECrel,compound,93.0,68.0,69.0
14,hsa:2821,GPI,cpd:C00668,C00668,hsa00010,ECrel,compound,94.0,66.0,76.0
15,cpd:C00668,C00668,hsa:2538,G6PC1,hsa00010,ECrel,compound,94.0,66.0,76.0
18,hsa:5236,PGM1,cpd:C00668,C00668,hsa00010,ECrel,compound,94.0,67.0,76.0
21,cpd:C00668,C00668,hsa:3098,HK1,hsa00010,ECrel,compound,94.0,66.0,75.0
23,cpd:C00668,C00668,hsa:2645,GCK,hsa00010,ECrel,compound,94.0,66.0,74.0
25,cpd:C00668,C00668,hsa:5236,PGM1,hsa00010,ECrel,compound,94.0,66.0,67.0
35,cpd:C00668,C00668,hsa:2821,GPI,hsa00010,ECrel,compound,94.0,67.0,71.0
36,hsa:2203,FBP1,cpd:C05345,C05345,hsa00010,ECrel,compound,95.0,64.0,66.0
37,cpd:C05345,C05345,hsa:2821,GPI,hsa00010,ECrel,compound,95.0,64.0,66.0
38,hsa:5211,PFKL,cpd:C05345,C05345,hsa00010,ECrel,compound,95.0,63.0,66.0
40,hsa:226,ALDOA,cpd:C05378,C05378,hsa00010,ECrel,compound,108.0,18.0,64.0
